"Country","People Living with T1D","People who should still be alive today","Healthy years of life lost per person","Healthy years of life lost to treatment","Healthy years of life lost to treatment (Peers)","Healthy years of life lost to complications","Healthy years of life lost to complications (Peers)","Healthy years of life lost to shorter life","Healthy years of life lost to shorter life (Peers)","Healthy years of life lost to cost of care","Healthy years of life lost to cost of care (Peers)","Healthy years of life lost to mental health","Healthy years of life lost to mental health (Peers)","Healthy years of life lost to quality of life","Healthy years of life lost to quality of life (Peers)","Healthy years stolen","Healthy years stolen (Peers)","Healthy years remaining","Healthy years remaining (Peers)","Percentage of families impacted by T1D in 1990","Percentage of families impacted by T1D in 2022","Percentage of families impacted by T1D in 2040","T1D growth from 2000-2000","T1D growth from 2000-2001","T1D growth from 2000-2002","T1D growth from 2000-2003","T1D growth from 2000-2004","T1D growth from 2000-2005","T1D growth from 2000-2006","T1D growth from 2000-2007","T1D growth from 2000-2008","T1D growth from 2000-2009","T1D growth from 2000-2010","T1D growth from 2000-2011","T1D growth from 2000-2012","T1D growth from 2000-2013","T1D growth from 2000-2014","T1D growth from 2000-2015","T1D growth from 2000-2016","T1D growth from 2000-2017","T1D growth from 2000-2018","T1D growth from 2000-2019","T1D growth from 2000-2020","T1D growth from 2000-2021","T1D growth from 2000-2022","Population growth from 2000-2000","Population growth from 2000-2001","Population growth from 2000-2002","Population growth from 2000-2003","Population growth from 2000-2004","Population growth from 2000-2005","Population growth from 2000-2006","Population growth from 2000-2007","Population growth from 2000-2008","Population growth from 2000-2009","Population growth from 2000-2010","Population growth from 2000-2011","Population growth from 2000-2012","Population growth from 2000-2013","Population growth from 2000-2014","Population growth from 2000-2015","Population growth from 2000-2016","Population growth from 2000-2017","Population growth from 2000-2018","Population growth from 2000-2019","Population growth from 2000-2020","Population growth from 2000-2021","Population growth from 2000-2022","T2D growth from 2000-2000","T2D growth from 2000-2001","T2D growth from 2000-2002","T2D growth from 2000-2003","T2D growth from 2000-2004","T2D growth from 2000-2005","T2D growth from 2000-2006","T2D growth from 2000-2007","T2D growth from 2000-2008","T2D growth from 2000-2009","T2D growth from 2000-2010","T2D growth from 2000-2011","T2D growth from 2000-2012","T2D growth from 2000-2013","T2D growth from 2000-2014","T2D growth from 2000-2015","T2D growth from 2000-2016","T2D growth from 2000-2017","T2D growth from 2000-2018","T2D growth from 2000-2019","T2D growth from 2000-2020","T2D growth from 2000-2021","T2D growth from 2000-2022","HIV growth from 2000-2000","HIV growth from 2000-2001","HIV growth from 2000-2002","HIV growth from 2000-2003","HIV growth from 2000-2004","HIV growth from 2000-2005","HIV growth from 2000-2006","HIV growth from 2000-2007","HIV growth from 2000-2008","HIV growth from 2000-2009","HIV growth from 2000-2010","HIV growth from 2000-2011","HIV growth from 2000-2012","HIV growth from 2000-2013","HIV growth from 2000-2014","HIV growth from 2000-2015","HIV growth from 2000-2016","HIV growth from 2000-2017","HIV growth from 2000-2018","HIV growth from 2000-2019","HIV growth from 2000-2020","HIV growth from 2000-2021","HIV growth from 2000-2022","Asthma growth from 2000-2000","Asthma growth from 2000-2001","Asthma growth from 2000-2002","Asthma growth from 2000-2003","Asthma growth from 2000-2004","Asthma growth from 2000-2005","Asthma growth from 2000-2006","Asthma growth from 2000-2007","Asthma growth from 2000-2008","Asthma growth from 2000-2009","Asthma growth from 2000-2010","Asthma growth from 2000-2011","Asthma growth from 2000-2012","Asthma growth from 2000-2013","Asthma growth from 2000-2014","Asthma growth from 2000-2015","Asthma growth from 2000-2016","Asthma growth from 2000-2017","Asthma growth from 2000-2018","Asthma growth from 2000-2019","Asthma growth from 2000-2020","Asthma growth from 2000-2021","Asthma growth from 2000-2022","Tuberculosis growth from 2000-2000","Tuberculosis growth from 2000-2001","Tuberculosis growth from 2000-2002","Tuberculosis growth from 2000-2003","Tuberculosis growth from 2000-2004","Tuberculosis growth from 2000-2005","Tuberculosis growth from 2000-2006","Tuberculosis growth from 2000-2007","Tuberculosis growth from 2000-2008","Tuberculosis growth from 2000-2009","Tuberculosis growth from 2000-2010","Tuberculosis growth from 2000-2011","Tuberculosis growth from 2000-2012","Tuberculosis growth from 2000-2013","Tuberculosis growth from 2000-2014","Tuberculosis growth from 2000-2015","Tuberculosis growth from 2000-2016","Tuberculosis growth from 2000-2017","Tuberculosis growth from 2000-2018","Tuberculosis growth from 2000-2019","Tuberculosis growth from 2000-2020","Tuberculosis growth from 2000-2021","Tuberculosis growth from 2000-2022","Life expectancy from age 10","Healthy years lost when developing T1D","Healthy years restored with onset diagnosis","Perctange of children with T1D undiagnosed","Uncelebrated birthdays this year","Educational poster cost in dollars","Healthy years restored with insulin and strips","Lives lost without insulin and strips","Uncelebrated birthdays this year2","Healthy hours restored with each test strip","Healthy years restored with device uptake","Days per year managing T1D without devices","Days per year restored through devices","T1D_growth_rate","Population_growth_rate","HIV_growth_rate","T2D_growth_rate","Asthma_growth_rate","Tuberculosis_growth_rate","t1d_index_dashboar_url","t1d_index_version"
"Palestine",2488.92,1810.15,44.739999999999995,1.52,0.708,8.14,1.4100000000000001,35.08,36.550000000000004,"TBD","TBD","TBD","TBD","TBD","TBD",44.739999999999995,43.67199999999999,31.85,30.208000000000002,"3.06%","1.68%","1.47%","100%","105.8%","111.15%","116.24%","121.57%","127.35%","133.7%","140.34%","147.2%","154.05%","160.82%","167.43%","174.09%","180.68%","187.61%","194.61%","202.03%","210%","218.35%","227.01%","235.79%","245.2%","254.71%","100%","102.66%","104.84%","106.76%","108.73%","110.98%","113.6%","116.52%","119.62%","122.76%","125.79%","128.71%","131.56%","134.41%","137.36%","140.48%","143.79%","147.25%","150.84%","154.51%","158.23%","162%","165.8%","100%","105.57%","112.04%","119.63%","127.73%","136.08%","144.92%","154.44%","165%","175.94%","187.28%","199.29%","212.04%","225.93%","240.35%","255.05%","270.78%","287.33%","304.37%","321.95%","321.95%","321.95%","321.95%","100%","110.5%","120.7%","131.14%","142.01%","152.72%","163.07%","172.71%","181.42%","189.51%","197.88%","206.8%","216.13%","225.81%","236.33%","248.06%","260.88%","274.83%","289.33%","303.47%","303.47%","303.47%","303.47%","100%","103.06%","106.06%","109.08%","112.18%","115.41%","119.22%","123.79%","128.66%","133.33%","137.43%","140.93%","144.14%","147.29%","150.49%","153.94%","161.78%","169.68%","173.13%","175.78%","175.78%","175.78%","175.78%","100%","102.57%","105.24%","107.94%","110.54%","112.88%","114.72%","116.04%","116.89%","117.36%","117.77%","118%","117.87%","117.51%","117.1%","116.77%","116.71%","116.61%","116.14%","115.36%","115.36%","115.36%","115.36%",76.59,44.739999999999995,3.2,"10.5%",440.83,1,22.5,971.2,440.83,3.2336770219840876,5.5,18,41.072044186258765,4.34,2.32,5.18,5.46,2.6,0.65,"https://t1dindex.shinyapps.io/dashboard/?loc_id=275","1.0.4.15"
"Sudan",50446.85,120048.9,47.97,0.74,0.42000000000000004,1.72,0.3520000000000001,45.51,45.686,"TBD","TBD","TBD","TBD","TBD","TBD",47.97,47.674,23.1,22.626000000000005,"14.97%","9.07%","7.33%","100%","104.07%","108.18%","112.78%","117.4%","122.28%","127.15%","132.55%","138.03%","143.72%","150.02%","156.85%","163.79%","171.34%","179.45%","188.03%","196.56%","205.74%","215%","224.36%","234.42%","244.57%","255.07%","100%","102.55%","105.24%","108.01%","110.78%","113.47%","116.08%","118.65%","121.21%","123.86%","126.65%","129.6%","132.7%","135.92%","139.24%","142.63%","146.09%","149.64%","153.26%","156.97%","160.77%","164.65%","168.62%","100%","104.84%","110.72%","117.35%","124.38%","131.22%","138.08%","145.32%","152.82%","160.38%","167.92%","175.66%","183.66%","192.18%","201.45%","211.94%","224.95%","238.64%","251.36%","263.97%","263.97%","263.97%","263.97%","100%","107.64%","114.15%","120.06%","125.76%","131.2%","136.56%","142%","147.59%","153.68%","160.02%","166.66%","173.91%","181.93%","190.84%","201.04%","212.81%","225.15%","237.92%","252.17%","252.17%","252.17%","252.17%","100%","101.74%","103.09%","104.52%","106.27%","108.2%","109.97%","111.42%","112.7%","113.8%","115.12%","116.92%","118.96%","121.24%","123.69%","126.57%","131.69%","137.17%","141.36%","145.81%","145.81%","145.81%","145.81%","100%","100.43%","100.5%","100.68%","101.16%","101.75%","102.43%","103.15%","103.77%","103.98%","103.86%","103.74%","103.68%","103.64%","103.56%","103.68%","103.93%","103.69%","102.85%","101.66%","101.66%","101.66%","101.66%",71.07,47.97,3.4,"17.9%",15849.68,1,22.1,66426.5,15849.68,4.295992919378152,7.2,18,52.635831310847145,4.35,2.4,4.29,4.51,1.73,0.07,"https://t1dindex.shinyapps.io/dashboard/?loc_id=729","1.0.4.15"
"Suriname",27.88,13.5,34.040000000000006,1.8,1.47,4.92,4.93,27.32,21.690000000000005,"TBD","TBD","TBD","TBD","TBD","TBD",34.040000000000006,29.21,39.92,47.93,"0.04%","0.07%","0.12%","100%","105.06%","110.56%","116.38%","122.63%","129.53%","136.42%","144.29%","152.48%","161.1%","169.94%","179.2%","188.9%","199.03%","209.38%","220.04%","230.93%","241.7%","253.02%","264.44%","276.29%","288.36%","300.43%","100%","101.2%","102.4%","103.61%","104.83%","106.06%","107.29%","108.54%","109.81%","111.08%","112.35%","113.64%","114.93%","116.21%","117.48%","118.73%","119.95%","121.14%","122.3%","123.45%","124.57%","125.66%","126.73%","100%","105.18%","110.92%","117.16%","123.85%","130.98%","139.43%","149.41%","160.16%","170.93%","181.12%","190.83%","200.48%","209.81%","218.64%","227.14%","236.2%","244.12%","248.87%","251.18%","251.18%","251.18%","251.18%","100%","106.85%","114.09%","122.25%","127.5%","129.27%","130.2%","130.8%","132.37%","135.15%","138.98%","143.46%","148.26%","153.57%","158.65%","163.21%","166.98%","170.63%","175.23%","180.84%","180.84%","180.84%","180.84%","100%","101.92%","103.93%","105.8%","107.34%","108.42%","109.08%","109.32%","109.37%","109.4%","109.91%","110.59%","110.91%","111.04%","111.09%","111.38%","115.17%","118.97%","119.29%","119.06%","119.06%","119.06%","119.06%","100%","101.8%","103.45%","104.84%","105.88%","106.57%","106.86%","106.6%","106.02%","105.29%","104.86%","104.58%","104.04%","103.26%","102.22%","101.09%","99.78%","98.41%","97.06%","95.66%","95.66%","95.66%","95.66%",73.96000000000001,34.040000000000006,3.9,"2.4%",3.66,1,9,4.17,3.66,1.3067665587021007,6.7,18,41.03166983020928,5.13,1.08,2.73,4.28,0.8,-0.2,"https://t1dindex.shinyapps.io/dashboard/?loc_id=740","1.0.4.15"
"Eswatini",413.04,817.4,42.21000000000001,0.67,0.708,0.67,1.4100000000000001,40.870000000000005,36.550000000000004,"TBD","TBD","TBD","TBD","TBD","TBD",42.21000000000001,43.67199999999999,22.67,30.208000000000002,"1.29%","1.41%","1.89%","100%","103.71%","107.49%","111.85%","116.96%","122.96%","129.87%","137.78%","146.83%","157.07%","168.58%","181.37%","195.59%","211.24%","228.12%","245.98%","264.58%","282.74%","300.08%","317.21%","334.95%","352.07%","370.61%","100%","100.81%","101.35%","101.73%","102.07%","102.5%","103.05%","103.7%","104.43%","105.17%","105.91%","106.62%","107.35%","108.1%","108.91%","109.81%","110.8%","111.87%","113.01%","114.19%","115.39%","116.6%","117.84%","100%","105.33%","110.89%","116.25%","120.97%","124.67%","128.27%","132.58%","137.19%","141.62%","145.5%","148.96%","152.26%","155.39%","158.42%","161.42%","163.02%","164.84%","168.62%","173.31%","173.31%","173.31%","173.31%","100%","110.14%","118.39%","124.8%","129.64%","133.42%","136.67%","140.19%","144.43%","148.1%","150.86%","153.75%","156.27%","158.46%","160.55%","162.28%","163.56%","164.44%","164.96%","165.32%","165.32%","165.32%","165.32%","100%","100.74%","100.96%","100.84%","100.55%","100.3%","99.77%","98.72%","97.46%","96.34%","95.74%","95.78%","96.14%","96.59%","96.92%","96.93%","94.41%","92.45%","93.59%","95.43%","95.43%","95.43%","95.43%","100%","101.05%","101.87%","102.42%","102.7%","102.7%","102.23%","101.19%","99.75%","98.09%","96.43%","94.56%","92.28%","89.81%","87.38%","85.27%","83.39%","81.79%","80.56%","79.6%","79.6%","79.6%","79.6%",64.88,42.21000000000001,3.5,"17.3%",119.97,1,16.2,389.69,119.97,3.2336770219840876,6.9,18,41.072044186258765,6.14,0.75,2.31,2.53,-0.21,-1.03,"https://t1dindex.shinyapps.io/dashboard/?loc_id=748","1.0.4.15"
"Sweden",99410.7,9823.76,17.760000000000005,3.3,2.55,7.57,6.65,6.890000000000001,7.683999999999994,"TBD","TBD","TBD","TBD","TBD","TBD",17.760000000000005,18.136000000000003,66.14999999999999,64.628,"5.05%","6.93%","7.4%","100%","103.06%","106.13%","109.43%","113.07%","116.91%","120.36%","124.24%","128.31%","132.26%","136.36%","140.45%","144.63%","148.75%","152.92%","157.24%","161.64%","165.91%","170.23%","174.73%","179.38%","183.87%","188.39%","100%","100.18%","100.44%","100.78%","101.23%","101.76%","102.41%","103.16%","103.99%","104.85%","105.72%","106.58%","107.44%","108.28%","109.12%","109.93%","110.73%","111.51%","112.26%","112.99%","113.7%","114.38%","115.04%","100%","102.18%","104.46%","106.88%","109.52%","112.37%","116.06%","120.73%","125.7%","130.25%","133.52%","135.64%","137.44%","139.21%","141.25%","143.81%","147.38%","151.55%","156.06%","161.25%","161.25%","161.25%","161.25%","100%","101.86%","103.83%","105.78%","107.54%","110.11%","113.37%","116.7%","120.44%","124.98%","130.36%","136.47%","143.44%","151.31%","160.02%","169.42%","178.76%","187.87%","196.93%","205.96%","205.96%","205.96%","205.96%","100%","96.07%","91.05%","85.95%","81.77%","79.51%","78.68%","78.08%","77.72%","77.64%","77.85%","78.6%","79.92%","81.55%","83.22%","84.63%","87.4%","90.02%","90.82%","91.35%","91.35%","91.35%","91.35%","100%","99.9%","99.91%","99.99%","100.13%","100.29%","100.41%","100.48%","100.55%","100.65%","100.85%","101.07%","101.29%","101.49%","101.71%","101.94%","101.88%","101.87%","102.21%","102.66%","102.66%","102.66%","102.66%",83.91,17.760000000000005,0,"0%",0,1,0,771.27,0,1.1117573827244247,4.4,18,39.719947229636006,2.92,0.64,3.34,2.2,-0.41,0.12,"https://t1dindex.shinyapps.io/dashboard/?loc_id=752","1.0.4.15"
"Switzerland",26642.34,3072.02,17.459999999999994,3.36,2.55,7.88,6.65,6.219999999999999,7.683999999999994,"TBD","TBD","TBD","TBD","TBD","TBD",17.459999999999994,18.136000000000003,67.38999999999999,64.628,"1.34%","1.94%","2.37%","100%","102.1%","104.42%","108.15%","111.94%","115.62%","120.01%","124.37%","128.99%","133.43%","137.95%","142.76%","147.54%","152.34%","157.29%","162.1%","166.72%","171.26%","175.8%","180.41%","185.07%","189.54%","194.06%","100%","100.5%","101.07%","101.74%","102.52%","103.4%","104.39%","105.5%","106.7%","107.97%","109.3%","110.67%","112.09%","113.5%","114.86%","116.13%","117.29%","118.35%","119.33%","120.25%","121.14%","121.99%","122.8%","100%","102.19%","104.66%","107.33%","110.16%","113.08%","116.39%","120.29%","124.46%","128.58%","132.32%","136.38%","141.32%","146.56%","151.57%","155.7%","157.54%","159.45%","164.46%","171.97%","171.97%","171.97%","171.97%","100%","102.04%","104.8%","107.78%","110.53%","113.07%","115.68%","118.53%","121.55%","124.7%","127.95%","131.29%","134.6%","137.9%","141.19%","144.48%","147.8%","150.99%","154.07%","157.1%","157.1%","157.1%","157.1%","100%","99.21%","98.04%","96.7%","95.45%","94.53%","93.82%","93.12%","92.5%","92.06%","91.89%","91.89%","91.9%","92%","92.32%","92.94%","94.06%","95.53%","97.19%","99.12%","99.12%","99.12%","99.12%","100%","98.65%","97.38%","96.23%","95.28%","94.58%","94.14%","93.87%","93.7%","93.53%","93.31%","92.94%","92.45%","91.93%","91.45%","91.1%","90.86%","90.64%","90.3%","89.83%","89.83%","89.83%","89.83%",84.85,17.459999999999994,0,"0%",0,1,0,261.42,0,1.1117573827244247,4.5,18,39.719947229636006,3.06,0.94,2.07,2.49,-0.04,-0.49,"https://t1dindex.shinyapps.io/dashboard/?loc_id=756","1.0.4.15"
"Syria",7323.79,13031.99,48.730000000000004,1.37,0.42000000000000004,8.05,0.3520000000000001,39.31,45.686,"TBD","TBD","TBD","TBD","TBD","TBD",48.730000000000004,47.674,29.279999999999998,22.626000000000005,"2.55%","1.58%","1.58%","100%","104.33%","108.64%","113.33%","118.4%","124.01%","131.07%","137.94%","143.23%","145.33%","143.71%","137.67%","129.24%","120.6%","113.19%","107.89%","105.17%","104.53%","105.83%","109.19%","114.8%","122.51%","133.2%","100%","102.17%","104.11%","106.12%","108.63%","111.88%","116.14%","121.13%","125.92%","129.22%","130.17%","128.46%","124.54%","119.3%","114.01%","109.67%","106.43%","104.17%","103.25%","104.02%","106.64%","111.36%","118%","100%","104.53%","109.53%","115.03%","121.09%","128.22%","135.7%","142.45%","149.19%","156.34%","163.06%","167.92%","170.8%","173.72%","176.97%","180.58%","186.25%","193.9%","202.49%","211.77%","211.77%","211.77%","211.77%","100%","104.41%","109.76%","114.56%","119.17%","125.93%","131.33%","137.01%","153.24%","173.22%","184.04%","180.82%","167.66%","158.76%","155.39%","154.03%","153.45%","155.12%","161.12%","168.73%","168.73%","168.73%","168.73%","100%","101.82%","104.29%","107.43%","111.29%","116.91%","125.09%","134.37%","144.06%","152.49%","154.88%","148.94%","138.01%","127.52%","119.66%","113.84%","106.77%","101.77%","101.55%","102.65%","102.65%","102.65%","102.65%","100%","99.4%","99.35%","99.82%","100.79%","103.2%","105.04%","104.13%","102.6%","101.47%","99.46%","94.46%","86.85%","80.15%","75.4%","71.95%","69.26%","67.59%","66.9%","66.41%","66.41%","66.41%","66.41%",78.01,48.730000000000004,5.1,"15%",2276.86,1,24.9,7883.26,2276.86,4.295992919378152,4.9,18,52.635831310847145,1.31,0.76,2.41,3.47,0.12,-1.84,"https://t1dindex.shinyapps.io/dashboard/?loc_id=760","1.0.4.15"
"Tajikistan",3580.94,2854.26,46.14,1.19,0.42000000000000004,5.7,0.3520000000000001,39.25,45.686,"TBD","TBD","TBD","TBD","TBD","TBD",46.14,47.674,28.12,22.626000000000005,"0.84%","1.29%","4.18%","100%","106.34%","113.6%","123.41%","137.04%","152.49%","168.42%","183.85%","198.97%","214.6%","229.66%","245.94%","267.85%","297.12%","330.19%","361.55%","392.81%","427.26%","464.71%","505.59%","550.2%","598.36%","650.89%","100%","101.64%","103.39%","105.23%","107.18%","109.22%","111.36%","113.61%","115.98%","118.47%","121.09%","123.83%","126.68%","129.66%","132.76%","136%","139.37%","142.85%","146.4%","149.94%","153.43%","156.84%","160.18%","100%","104.4%","109.06%","114.26%","119.98%","126.68%","134.54%","143.63%","153.81%","164.88%","176.88%","189.37%","202.65%","216.99%","232.48%","249.58%","270.51%","289.77%","303.35%","314.32%","314.32%","314.32%","314.32%","100%","105.49%","109.61%","112.55%","114.69%","116.55%","118.57%","121.29%","125.33%","131.09%","138.45%","148.1%","159.93%","173.76%","189.98%","210.15%","235.41%","264.74%","296.33%","329.23%","329.23%","329.23%","329.23%","100%","100.65%","100.87%","101.06%","101.33%","101.99%","103.05%","104.27%","105.68%","107.22%","108.85%","110.63%","112.54%","114.71%","117.13%","119.99%","127.66%","136.32%","141.21%","145.54%","145.54%","145.54%","145.54%","100%","100.84%","101.63%","102.42%","103.26%","104.28%","105.35%","106.44%","107.55%","108.72%","109.99%","111.18%","112.29%","113.35%","114.37%","115.35%","116.13%","116.67%","116.83%","116.56%","116.56%","116.56%","116.56%",74.26,46.14,3.9,"14.5%",904.55,1,23.7,1457.6,904.55,4.295992919378152,5.3,18,52.635831310847145,8.89,2.16,5.57,5.34,1.72,0.7,"https://t1dindex.shinyapps.io/dashboard/?loc_id=762","1.0.4.15"
"Thailand",11407.5,5062.4,37.50000000000001,1.94,1.47,6.38,4.93,29.18,21.690000000000005,"TBD","TBD","TBD","TBD","TBD","TBD",37.50000000000001,29.21,41.3,47.93,"0.04%","0.14%","0.25%","100%","108.96%","121.02%","134.9%","157.23%","184.48%","206.06%","224.66%","244%","264.14%","284.57%","305.7%","328.04%","351.3%","375.28%","399.53%","424.06%","448.23%","473.36%","498.55%","523.92%","549.04%","574.3%","100%","100.93%","101.77%","102.54%","103.24%","103.91%","104.54%","105.13%","105.68%","106.22%","106.74%","107.25%","107.75%","108.24%","108.71%","109.15%","109.55%","109.93%","110.28%","110.59%","110.87%","111.1%","111.31%","100%","102.74%","104.71%","106.3%","107.97%","110.24%","113.56%","117.42%","120.73%","123.61%","127.42%","132.46%","138.24%","144.5%","150.95%","157.26%","175.37%","198.44%","214.77%","229.8%","229.8%","229.8%","229.8%","100%","96.22%","93.49%","92.41%","92.28%","92.84%","96.16%","102.16%","106.11%","107.33%","109.4%","112.63%","115.77%","118.24%","119.8%","120.68%","121.27%","122.17%","123.7%","125.6%","125.6%","125.6%","125.6%","100%","100.98%","102.37%","103.75%","104.72%","104.93%","104.79%","104.29%","101.16%","96.39%","93.88%","93.36%","93.05%","92.83%","92.62%","92.42%","91.89%","91.96%","94.63%","99.68%","99.68%","99.68%","99.68%","100%","99.82%","99.54%","99.32%","99.34%","99.75%","101.87%","105.55%","107.1%","106.22%","106.31%","107.4%","108.5%","109.49%","110.38%","111.19%","111.87%","112.49%","113.24%","114.12%","114.12%","114.12%","114.12%",78.8,37.50000000000001,4.7,"5.4%",1176.34,1,10.6,1888.53,1176.34,1.3067665587021007,6.4,18,41.03166983020928,8.27,0.49,1.04,3.85,-0.01,0.6,"https://t1dindex.shinyapps.io/dashboard/?loc_id=764","1.0.4.15"
"Timor L'Este",198.76,160.18,45.660000000000004,1.17,0.708,5.22,1.4100000000000001,39.27,36.550000000000004,"TBD","TBD","TBD","TBD","TBD","TBD",45.660000000000004,43.67199999999999,28.04,30.208000000000002,"0.42%","0.56%","0.59%","100%","110.56%","122.66%","136.15%","151.17%","167.73%","184.77%","203.12%","222.66%","243.68%","265.27%","287.9%","311.8%","336.46%","361.84%","388.72%","416.74%","445.22%","474.31%","504.94%","536.79%","568.91%","602.85%","100%","101.91%","104.33%","107.09%","109.9%","112.52%","114.93%","117.19%","119.34%","121.48%","123.65%","125.87%","128.11%","130.41%","132.79%","135.27%","137.87%","140.58%","143.38%","146.22%","149.08%","151.96%","154.85%","100%","104.03%","108.03%","112.12%","116.49%","122.66%","129.14%","136.68%","144.93%","153.59%","164.52%","173.99%","183.57%","193.56%","204.4%","219.83%","240.82%","262.43%","277.21%","288.69%","288.69%","288.69%","288.69%","100%","98.92%","98.29%","98.39%","99.1%","100.35%","102.15%","104.22%","106.09%","107.77%","109.43%","110.83%","112.05%","112.9%","113.35%","113.28%","112.83%","112.47%","112.64%","113.33%","113.33%","113.33%","113.33%","100%","100.07%","100.31%","100.83%","101.75%","103.41%","105.44%","107.76%","110.24%","112.75%","115.44%","117.77%","119.96%","122.12%","124.33%","126.96%","130.59%","134.29%","137.08%","139.73%","139.73%","139.73%","139.73%","100%","100.87%","101.71%","102.64%","103.77%","105.24%","106.95%","108.83%","110.85%","113.02%","115.3%","117.57%","119.83%","122.11%","124.47%","126.96%","129.64%","132.5%","135.55%","138.87%","138.87%","138.87%","138.87%",73.7,45.660000000000004,2.7,"11.3%",34.96,1,23.6,88.74,34.96,3.2336770219840876,5.8,18,41.072044186258765,8.51,2.01,0.57,4.94,1.53,1.5,"https://t1dindex.shinyapps.io/dashboard/?loc_id=626","1.0.4.15"
"Togo",443.68,1210.72,48.92,0.47,0.42000000000000004,0.64,0.3520000000000001,47.81,45.686,"TBD","TBD","TBD","TBD","TBD","TBD",48.92,47.674,18.89,22.626000000000005,"0.41%","0.45%","0.51%","100%","107.42%","115.69%","124.46%","133.97%","144.25%","155.1%","167.64%","182.3%","198.03%","215.29%","234.91%","256.03%","279.19%","302.82%","327.32%","352.84%","380.47%","408.72%","438.99%","471.57%","504.44%","540.22%","100%","102.81%","105.54%","108.25%","111.03%","113.96%","117.03%","120.22%","123.54%","126.94%","130.41%","133.94%","137.56%","141.23%","144.95%","148.71%","152.5%","156.33%","160.2%","164.13%","168.12%","172.17%","176.28%","100%","104.31%","108.7%","113.09%","117.91%","123.16%","129.08%","136.05%","143.6%","151.78%","160.09%","168.2%","176.47%","185.08%","194.86%","205.95%","223.33%","241.51%","254.45%","266.81%","266.81%","266.81%","266.81%","100%","103.84%","105.87%","106.49%","106.16%","105.21%","104.18%","102.74%","100.89%","99.18%","97.82%","96.69%","95.6%","94.42%","93.12%","91.58%","90.14%","89.08%","88.25%","87.66%","87.66%","87.66%","87.66%","100%","102.49%","105.07%","107.69%","110.37%","113.01%","114.71%","115.14%","115.09%","115.52%","117.39%","120.45%","123.74%","127.21%","130.78%","134.39%","139.74%","145.42%","149.64%","153.68%","153.68%","153.68%","153.68%","100%","100.87%","100.98%","100.71%","100.48%","100.77%","101.65%","102.77%","103.96%","105.08%","105.93%","106.37%","106.39%","106.05%","105.42%","104.61%","103.45%","101.88%","99.92%","97.49%","97.49%","97.49%","97.49%",67.81,48.92,3.5,"24.7%",185.4,1,23.5,717.4,185.4,4.295992919378152,7.3,18,52.635831310847145,7.97,2.61,-0.6,4.56,1.97,-0.12,"https://t1dindex.shinyapps.io/dashboard/?loc_id=768","1.0.4.15"
"Tonga",14.23,7.87,39.18000000000001,1.47,1.47,5.48,4.93,32.230000000000004,21.690000000000005,"TBD","TBD","TBD","TBD","TBD","TBD",39.18000000000001,29.21,33.68,47.93,"0.24%","0.48%","0.93%","100%","104.5%","109.19%","114.05%","119.1%","125.05%","131.35%","138.02%","144.68%","151.53%","157.84%","163.96%","169.19%","174.05%","179.46%","186.13%","194.05%","203.06%","213.15%","224.14%","234.77%","245.41%","256.4%","100%","100.53%","101.08%","101.66%","102.3%","103.01%","103.83%","104.71%","105.53%","106.06%","106.14%","105.71%","104.87%","103.89%","103.12%","102.88%","103.25%","104.12%","105.35%","106.67%","107.9%","108.98%","109.99%","100%","103.31%","106.96%","110.68%","114.29%","117.65%","120.7%","123.57%","126.31%","128.9%","131.49%","134.23%","137.08%","140.04%","143.12%","146.34%","150.51%","154.52%","157.54%","160.43%","160.43%","160.43%","160.43%","100%","105.25%","111.07%","117.51%","124.58%","132.95%","142.53%","152.45%","162.59%","172.68%","182.16%","191.47%","201.62%","211.77%","221.09%","230.22%","240.01%","250.42%","260.06%","268.56%","268.56%","268.56%","268.56%","100%","99.94%","99.66%","99.19%","98.61%","97.99%","96.65%","94.31%","91.65%","89.31%","88.05%","87.51%","86.84%","86.15%","85.52%","85.05%","89.23%","93.48%","93.12%","91.9%","91.9%","91.9%","91.9%","100%","100.84%","101.77%","102.73%","103.71%","104.67%","105.74%","106.93%","108.08%","108.96%","109.48%","109.73%","109.77%","109.66%","109.43%","109.14%","108.62%","108.03%","107.46%","106.8%","106.8%","106.8%","106.8%",72.86,39.18000000000001,2.9,"11.9%",2.08,1,16.3,3.34,2.08,1.3067665587021007,6.2,18,41.03166983020928,4.37,0.43,4.59,2.17,-0.38,0.3,"https://t1dindex.shinyapps.io/dashboard/?loc_id=776","1.0.4.15"
