world_bank_name,united_nations_name,sub_saharan_africa,drop_country,world_bank_code,world_bank_classification,jdrf_region_name,jdrf_broad_region_name,jdrf_broad_region_code,legacy_region_code,legacy_region_name,loc_id,broad_region_id,region_id
Pakistan,Pakistan,FALSE,FALSE,PAK,LMIC,South Asia,Asia-Pacific,APAC,EMME,Middle East & North Africa,586,2,10
Panama,Panama,FALSE,FALSE,PAN,HIC,Central America and The Caribbean,Americas,AMER,SACA,South America & Central America,591,1,2
Papua New Guinea,Papua New Guinea,FALSE,FALSE,PNG,LMIC,Oceania,Asia-Pacific,APAC,WP,Western Pacific,598,2,11
Paraguay,Paraguay,FALSE,FALSE,PRY,UMIC,South America,Americas,AMER,SACA,South America & Central America,600,1,9
Peru,Peru,FALSE,FALSE,PER,UMIC,South America,Americas,AMER,SACA,South America & Central America,604,1,9
Philippines,Philippines,FALSE,FALSE,PHL,LMIC,South-East Asia,Asia-Pacific,APAC,WP,Western Pacific,608,2,11
Poland,Poland,FALSE,FALSE,POL,HIC,Eastern Europe,Europe,EUR,EUR,Europe,616,3,4
Portugal,Portugal,FALSE,FALSE,PRT,HIC,Western Europe,Europe,EUR,EUR,Europe,620,3,13
Puerto Rico,Puerto Rico,FALSE,TRUE,PRI,HIC,Central America and The Caribbean,Americas,AMER,N/A,N/A,630,1,2
Qatar,Qatar,FALSE,FALSE,QAT,HIC,Middle East,Middle East and Africa,MEA,EMME,Middle East & North Africa,634,4,5
Republic of Congo,Congo,TRUE,FALSE,COG,LMIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,178,4,12
Republic of Korea,Republic of Korea,FALSE,FALSE,KOR,HIC,East Asia,Asia-Pacific,APAC,WP,Western Pacific,410,2,3
Réunion,Réunion,TRUE,TRUE,REU,UMIC,Sub-Saharan Africa,Middle East and Africa,MEA,N/A,N/A,638,4,12
Romania,Romania,FALSE,FALSE,ROU,UMIC,Eastern Europe,Europe,EUR,EUR,Europe,642,3,4
Russian Federation,Russian Federation,FALSE,FALSE,RUS,UMIC,Eastern Europe,Europe,EUR,EUR,Europe,643,3,4
