loc_id,year,hba1c
422,2060,9.5
422,2100,9.5
426,1850,13.5
426,1920,13.5
426,1921,12
426,1950,12
426,1980,12
426,1990,12
426,2000,12
426,2010,12
426,2020,11.5
426,2030,11.5
426,2040,11.5
426,2050,11.5
426,2060,11.5
426,2100,11.5
430,1850,13.5
430,1920,13.5
430,1921,13.5
430,1950,13.5
430,1980,13.5
430,1990,13.5
430,2000,13.5
430,2010,13.5
430,2020,12.5
430,2030,12.5
430,2040,12.5
430,2050,12.5
430,2060,12.5
430,2100,12.5
434,1850,13.5
434,1920,13.5
434,1921,12
434,1950,12
434,1980,12
434,1990,9.5
434,2000,9.5
434,2010,9.5
434,2020,9.5
434,2030,9.5
434,2040,9.5
434,2050,9.5
434,2060,9.5
434,2100,9.5
440,1850,13.5
440,1920,13.5
440,1921,11
440,1950,11
440,1980,10
440,1990,9
440,2000,9
440,2010,9
440,2020,8.5
440,2030,8.5
440,2040,8.5
440,2050,8.5
440,2060,8.5
440,2100,8.5
442,1850,13.5
442,1920,13.5
442,1921,11
442,1950,11
442,1980,10
442,1990,9
442,2000,9
442,2010,9
442,2020,8.5
442,2030,8.5
442,2040,8.5
442,2050,8.5
442,2060,8.5
442,2100,8.5
807,1850,13.5
807,1920,13.5
807,1921,12
807,1950,12
807,1980,12
807,1990,9.5
807,2000,9.5
807,2010,9.5
807,2020,9.5
807,2030,9.5
807,2040,9.5
807,2050,9.5
807,2060,9.5
807,2100,9.5
450,1850,13.5
450,1920,13.5
450,1921,13.5
450,1950,13.5
450,1980,13.5
450,1990,13.5
450,2000,13.5
450,2010,13.5
450,2020,12.5
450,2030,12.5
450,2040,12.5
450,2050,12.5
450,2060,12.5
450,2100,12.5
454,1850,13.5
454,1920,13.5
454,1921,13.5
454,1950,13.5
454,1980,13.5
454,1990,13.5
454,2000,13.5
454,2010,13.5
454,2020,12.5
454,2030,12.5
454,2040,12.5
454,2050,12.5
454,2060,12.5
454,2100,12.5
458,1850,13.5
458,1920,13.5
458,1921,12
458,1950,12
458,1980,12
458,1990,9.5
458,2000,9.5
458,2010,9.5
458,2020,9.5
458,2030,9.5
458,2040,9.5
458,2050,9.5
458,2060,9.5
458,2100,9.5
462,1850,13.5
462,1920,13.5
462,1921,12
462,1950,12
462,1980,12
462,1990,9.5
462,2000,9.5
462,2010,9.5
462,2020,9.5
462,2030,9.5
462,2040,9.5
462,2050,9.5
462,2060,9.5
462,2100,9.5
466,1850,13.5
466,1920,13.5
466,1921,13.5
466,1950,13.5
466,1980,13.5
466,1990,13.5
466,2000,13.5
466,2010,13.5
466,2020,12.5
466,2030,12.5
466,2040,12.5
466,2050,12.5
466,2060,12.5
466,2100,12.5
470,1850,13.5
470,1920,13.5
470,1921,11
470,1950,11
470,1980,10
470,1990,9
470,2000,9
470,2010,9
470,2020,8.5
470,2030,8.5
470,2040,8.5
470,2050,8.5
470,2060,8.5
470,2100,8.5
474,1850,13.5
474,1920,13.5
474,1921,12
474,1950,12
474,1980,12
474,1990,9.5
474,2000,9.5
474,2010,9.5
474,2020,9.5
474,2030,9.5
474,2040,9.5
474,2050,9.5
474,2060,9.5
474,2100,9.5
478,1850,13.5
478,1920,13.5
478,1921,12
478,1950,12
478,1980,12
478,1990,12
478,2000,12
478,2010,12
478,2020,11.5
478,2030,11.5
478,2040,11.5
478,2050,11.5
478,2060,11.5
478,2100,11.5
480,1850,13.5
480,1920,13.5
480,1921,12
480,1950,12
480,1980,12
